Date,BTC-USD,GC=F,^VIX
2017-07-10,2372.56005859375,1212.0999755859375,11.109999656677246
2017-07-11,2337.7900390625,1213.5999755859375,10.890000343322754
2017-07-12,2398.840087890625,1218.0999755859375,10.300000190734863
2017-07-13,2357.89990234375,1216.300048828125,9.899999618530273
2017-07-14,2233.340087890625,1226.5999755859375,9.510000228881836
2017-07-17,2228.409912109375,1232.800048828125,9.819999694824219
2017-07-18,2318.8798828125,1241.0999755859375,9.890000343322754
2017-07-19,2273.429931640625,1241.199951171875,9.789999961853027
2017-07-20,2817.60009765625,1244.800048828125,9.579999923706055
2017-07-21,2667.760009765625,1254.300048828125,9.359999656677246
2017-07-24,2754.860107421875,1253.9000244140625,9.430000305175781
2017-07-25,2576.47998046875,1251.699951171875,9.430000305175781
2017-07-26,2529.449951171875,1249.0,9.600000381469727
2017-07-27,2671.780029296875,1259.5999755859375,10.109999656677246
2017-07-28,2809.010009765625,1268.4000244140625,10.289999961853027
2017-07-31,2875.340087890625,1266.5999755859375,10.260000228881836
2017-08-01,2718.260009765625,1272.5999755859375,10.09000015258789
2017-08-02,2710.669921875,1271.800048828125,10.279999732971191
2017-08-03,2804.72998046875,1267.800048828125,10.4399995803833
2017-08-04,2895.889892578125,1258.300048828125,10.029999732971191
2017-08-07,3378.93994140625,1258.199951171875,9.930000305175781
2017-08-08,3419.93994140625,1256.4000244140625,10.960000038146973
2017-08-09,3342.469970703125,1273.0,11.109999656677246
2017-08-10,3381.280029296875,1283.699951171875,16.040000915527344
2017-08-11,3650.6201171875,1287.699951171875,15.510000228881836
2017-08-14,4325.1298828125,1284.199951171875,12.329999923706055
2017-08-15,4181.93017578125,1273.699951171875,12.039999961853027
2017-08-16,4376.6298828125,1276.9000244140625,11.739999771118164
2017-08-17,4331.68994140625,1286.4000244140625,15.550000190734863
2017-08-18,4160.6201171875,1285.699951171875,14.260000228881836
2017-08-21,4001.739990234375,1290.800048828125,13.1899995803833
2017-08-22,4100.52001953125,1285.0999755859375,11.350000381469727
2017-08-23,4151.52001953125,1288.9000244140625,12.25
2017-08-24,4334.68017578125,1286.5,12.229999542236328
2017-08-25,4371.60009765625,1292.5,11.279999732971191
2017-08-28,4382.66015625,1309.699951171875,11.319999694824219
2017-08-29,4579.02001953125,1313.0999755859375,11.699999809265137
2017-08-30,4565.2998046875,1308.0999755859375,11.220000267028809
2017-08-31,4703.39013671875,1316.199951171875,10.59000015258789
2017-09-01,4892.009765625,1324.5,10.130000114440918
2017-09-05,4376.52978515625,1339.199951171875,12.229999542236328
2017-09-06,4597.1201171875,1333.9000244140625,11.630000114440918
2017-09-07,4599.8798828125,1345.0999755859375,11.550000190734863
2017-09-08,4228.75,1346.0,12.119999885559082
2017-09-11,4161.27001953125,1331.0,10.729999542236328
2017-09-12,4130.81005859375,1328.0,10.579999923706055
2017-09-13,3882.590087890625,1323.4000244140625,10.5
2017-09-14,3154.949951171875,1324.699951171875,10.4399995803833
2017-09-15,3637.52001953125,1320.4000244140625,10.170000076293945
2017-09-18,4065.199951171875,1306.300048828125,10.149999618530273
2017-09-19,3924.969970703125,1306.199951171875,10.180000305175781
2017-09-20,3905.949951171875,1312.0,9.779999732971191
2017-09-21,3631.0400390625,1290.5999755859375,9.670000076293945
2017-09-22,3630.699951171875,1293.300048828125,9.59000015258789
2017-09-25,3926.070068359375,1306.800048828125,10.210000038146973
2017-09-26,3892.35009765625,1297.0,10.170000076293945
2017-09-27,4200.669921875,1283.4000244140625,9.869999885559082
2017-09-28,4174.72998046875,1285.5,9.550000190734863
2017-09-29,4163.06982421875,1281.5,9.510000228881836
2017-10-02,4409.31982421875,1272.699951171875,9.449999809265137
2017-10-03,4317.47998046875,1271.5,9.510000228881836
2017-10-04,4229.35986328125,1273.699951171875,9.630000114440918
2017-10-05,4328.41015625,1269.9000244140625,9.1899995803833
2017-10-06,4370.81005859375,1271.5999755859375,9.649999618530273
2017-10-09,4772.02001953125,1281.800048828125,10.329999923706055
2017-10-10,4781.990234375,1290.5999755859375,10.079999923706055
2017-10-11,4826.47998046875,1285.800048828125,9.850000381469727
2017-10-12,5446.91015625,1293.300048828125,9.90999984741211
2017-10-13,5647.2099609375,1301.5,9.609999656677246
2017-10-16,5725.58984375,1299.9000244140625,9.90999984741211
2017-10-17,5605.509765625,1283.0,10.3100004196167
2017-10-18,5590.68994140625,1279.9000244140625,10.069999694824219
2017-10-19,5708.52001953125,1286.9000244140625,10.050000190734863
2017-10-20,6011.4501953125,1277.4000244140625,9.970000267028809
2017-10-23,5930.31982421875,1277.699951171875,11.069999694824219
2017-10-24,5526.64013671875,1275.0,11.15999984741211
2017-10-25,5750.7998046875,1275.4000244140625,11.229999542236328
2017-10-26,5904.830078125,1266.300048828125,11.300000190734863
2017-10-27,5780.89990234375,1268.5,9.800000190734863
2017-10-30,6130.52978515625,1274.0999755859375,10.5
2017-10-31,6468.39990234375,1267.0,10.180000305175781
2017-11-01,6767.31005859375,1274.0999755859375,10.199999809265137
2017-11-02,7078.5,1274.9000244140625,9.930000305175781
2017-11-03,7207.759765625,1266.5,9.140000343322754
